"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47","Specification 48","Specification 49","Specification 50","Specification 51","Specification 52","Specification 53","Specification 54","Specification 55","Specification 56","Specification 57","Specification 58","Specification 59","Specification 60","Specification 61","Specification 62","Specification 63","Specification 64","Specification 65","Specification 66","Specification 67","Specification 68","Specification 69","Specification 70","Specification 71","Specification 72","Specification 73","Specification 74","Specification 75","Specification 76","Specification 77","Specification 78","Specification 79","Specification 80","Specification 81","Specification 82","Specification 83","Specification 84","Specification 85","Specification 86","Specification 87","Specification 88","Specification 89","Specification 90","Specification 91","Specification 92","Specification 93","Specification 94","Specification 95","Specification 96","Specification 97","Specification 98","Specification 99","Specification 100","Specification 101","Specification 102","Specification 103","Specification 104","Specification 105","Specification 106","Specification 107","Specification 108","Specification 109","Specification 110","Specification 111","Specification 112","Specification 113","Specification 114","Specification 115"
"RIVERSOFT","Klima ST TAC-12INV32 SIBERIA 12-ka Inverter A++/A+","16999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47012709/1.webp","Superior Technology powered by TCL","12000 BTU ИНВЕРТЕР Климатизер","Ладење 3.50KW и Греење 3.52KW","Скриен Дисплеј","SEER за ладење 6.5","SCOP за греење: 4.0","Авто рестарт функција","Одвлажнување 1.1л на час","Циркулација на воздух 550 m3/h","Бучност на внатрешна единица Мин: 32dB","Макс: 50dB","Бучност на надворешна единица: 60dB","Годишна потрошувачка на ел. енергија за ладење: 188kwh","Годишна потрошувачка на ел. енергија за греење: 840kwh","Нормална работна температура: -15 to 43 C","R32 еколошки гас","A++ енергетска класа во ладење","A+ енергетска класа во греење","Далечински управувач","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HOOBART HBAX12INV-WMSE2 12 Inverter,-25,A++/A+","18999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47013419/1.webp","Инвертер клима уред","Моќност: 3.5kW","Моќност ладење/греење: 3500/3800W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 600m?/h","Работна температура: ладење:-15 - 49/греење:-25 - 32°C","SEER: 6.1","SCOP: 4","Ниво на бучава (Внатрешна единица): 56dB","Годишна потрошувачка на енергија за греење: 943kWh/a","Годишна потрошувачка на енергија за ладење: 200kWh/a","WiFi: Ready","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima DIPLOMAT DAC-120CA Inverter, -20 , A++, R32","18999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9992498/1.webp","Тип: Инвертор","Контрола: Далечински","Моќност во режим на ладење: 3400W","Моќност во режим на греење: 3430W","6 степени на брзина на вентилаторот","Автоматско рестартирање","Самодијагностика","Турбо Режим","Паметен проток на воздух","Лесен за чистење филтер","Филтер за прашина","Интелигентно одмрзнување","Тајмер","Режим на спиење","Самочистење","Заштита на децата","Лед Дисплеј","SEER: 6.1","Енергетска класа: A++","SCOP медиум: 4.0","Проток на воздух: 560 m3/h","Греење -20 ?","Ладење 53 ?","Греач на надворешна единица","Отстранување на влага: 1,2L/час","Напон: 220-240V/50Hz","Напојување: надворешено","Потрошувачка на енергија во режим на ладење: 1049W","Потрошувачка на енергија во режим на греење: 922W","Фреон: R32","Димензии на внатрешната единица (WxHxD): 790x275x192mm","Димензии на надворешниот уред (WxHxD): 777x498x290mm","Нето тежина на внатрешната единица: 8.5kg","Нето тежина на надворешната единица: 24kg","Големина на пакетот на внатрешната единица: 860x345x265mm","Големина на пакетот на надворешниот уред: 818x520x325mm","Бруто тежина на внатрешната единица: 10.5kg","Бруто тежина на надворешниот оддел (без цевки): 26кг","Гаранција : 5 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VIVAX COOL ACP-12CH35AEMIs Inverter 3.81kW","21990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/93140/1.webp","Енергетска класа (SEER/SCOP): A++ (6.1 / 4.0)","Максимален капацитет на ладење: 4100 W","Максимален капацитет на греење: 4220 W","Просечна моќност: Ладење: 3520 W ;","Греење: 3810 W","Влезна моќност ладење: 1297 W","Влезна моќност греење: 1186 W","Проток на воздух: 570 m?/h","Капацитет на одвлажнување: 1.2 l/h","Ниво на бучава: 41 dB (A)","Работна температура: од -15 °C до 50 °C","Маса внатрешна единица: 7.2 kg","Маса надворешна единица: 25.5 kg","Препорачана површина: 35 m?","Фреон: Еколошки фреон R32","Филтри: Bio филтер, филтер за прашина","Димензии надворешна единица: 770x300x555 mm","Димензии внатрешна единица: 805x194x285 mm","Останато: Висока ефикасност, самодијагноза, 1W standby, заштита на вентил надворешна единица, 12 Fan Speed, self cleaning, индикатор за истекување на гасот за разладување, безшумна операција, двосмерен одвод на кондензат, дигитален екран, sleep mode, тајмер, интелегентно отопување","Гаранција: 3 години","Функции: Memory функција, турбо,","Wi-Fi ready","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima ST XAC-12INVA ARCTIC 12-ka Inverter A++/A+","21999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47012710/1.webp","Superior Technology","СМАРТ DC ИНВЕРТЕР Клима уред","GMCC Toshiba компресор","Двоен греач на компресорот","Капацитет 12000BTU","3500W на ладење","3800W на греење","Скриен Дисплеј","R32 Гас","Греење до минус 25 степени","Вграден WiFi","Работна температура -25 до +49 степени","SEER (Ладење) 6.1","SCOP (Греење просек) 4.0","Авто рестарт функција","Тајмер","Меморија на позицијата на отворот за дување","Смарт дијагностика + детекција на течење гас","Турбо мод","Функција за одвлажнување 1.7 литри на час","A++ на ладење","А+ на греење","Идеална за простории до 30м2","Бучност на внатрешна единица 56/64dB","Проток на воздух внатрешна единица 600/550/500/400","Тежина внатрешна единица 7.5 кг","Тежина надворешна единица 22.5 кг","Димензии внатрешна единица 296x761x199 мм","Димензии надоврешна единица 530x705x280 мм","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VOX IJL12-SC4DWH Inverter","23900.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9991289/1.webp","ЕНЕРГЕТСКА КЛАСА A++/A+","BTU 12000","КАПАЦИТЕТ ЗА ЛАДЕЊЕ, KW 3,50","КАПАЦИТЕТ ЗА ГРЕЕЊЕ, KW 3,80","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 1,10","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 1,18","ГОДИШНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 198","ГОДИШНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 938","СЕЗОНСКИ СООДНОС НА ЕНЕРГЕТСКА ЕФИКАСНОСТ ПРИ ЛАДЕЊЕ SEER 6,19","СЕЗОНСКИ КОЕФИЦИЕНТ НА ПЕРФОРМАНСИ ВО ГРЕЕЊЕ SCOP 4,03","РАБОТНА ТЕМПЕРАТУРА, °C -15°C to +49°C","ЦИРКУЛАЦИЈА НА ВОЗДУХ, M?/H 600","БУЧАВА – ВНАТРЕШНА ЕДИНИЦА, DB(A) 53","БУЧАВА – НАДВОРЕШНА ЕДИНИЦА, DB(A) 62","ДИМЕНЗИИ НА ВНАТРЕШНА ЕДИНИЦА Ш X В X Д, MM 792 x 292 x 201","ДИМЕНЗИИ НА НАДВОРЕШНА ЕДИНИЦА Ш X В X Д, MM 705 x 530 x 279","TEЖИНА НА ВНАТРЕШНА ЕДИНИЦА, KG 8,5","ТЕЖИНА НА НАДВОРЕШНА ЕДИНИЦА, KG 18","ДОПОЛНИТЕЛНИ ИНФОРМАЦИИ Wi-Fi integrated","4D Air Flow","Грејач на надворенашнта единица","AutoCleaning","DeepSleep","Брзо ладење и греење","DryingMode","Голем домет на климатизираниот воздух","Флексибилна инсталација","Интелигентно одмрзнување","Самочитење на надворешната единица","Inverter","Тајмер","Повеќекратна заштита","ГАРАНЦИЈА 60 месеци","ДОКУМЕНТИ Енергетска класа","Список со информации за производот","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VOX IVA1-12IR 12-ka Inverter,","24900.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/101588/1.webp","ЕНЕРГЕТСКА КЛАСА","A++/A+","BTU 12000","КАПАЦИТЕТ ЗА ЛАДЕЊЕ, KW 3.5","КАПАЦИТЕТ ЗА ГРЕЕЊЕ, KW 3.6","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 1.09","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 0.97","ГОДИШНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 198","ГОДИШНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 902","СЕЗОНСКИ СООДНОС НА ЕНЕРГЕТСКА ЕФИКАСНОСТ ПРИ ЛАДЕЊЕ SEER 6.21","СЕЗОНСКИ КОЕФИЦИЕНТ НА ПЕРФОРМАНСИ ВО ГРЕЕЊЕ SCOP 4.04","РАБОТНА ТЕМПЕРАТУРА, °C -20 °C до 46 °C","ЦИРКУЛАЦИЈА НА ВОЗДУХ, M?/H 560","БУЧАВА – ВНАТРЕШНА ЕДИНИЦА, DB(A) 54","БУЧАВА – НАДВОРЕШНА ЕДИНИЦА, DB(A) 62","ДИМЕНЗИИ НА ВНАТРЕШНА ЕДИНИЦА Ш X В X Д, MM 750 x 285 x 200","ДИМЕНЗИИ НА НАДВОРЕШНА ЕДИНИЦА Ш X В X Д, MM 730 x 545 x 285","TEЖИНА НА ВНАТРЕШНА ЕДИНИЦА, KG 8.5","ТЕЖИНА НА НАДВОРЕШНА ЕДИНИЦА, KG 22.5","ДОДАТНИ ФУНКЦИОНАЛНОСТИ AutoCleaning","DeepSleep","Filter Anti 2.5 PM","5-step Cleaning","DryingMode","PlasmaSterilization","WiFi Ready","iFeel","Интелигентно одмрзнување","ГАРАНЦИЈА 36 месеци","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VOX IVA6-12JRPCW Wi-Fi, White Inverter 12ka 3.5KW, A++/A+, Filter ANTI-PM","24999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/15965/1.webp","ЕНЕРГЕТСКА КЛАСА A++/A+","BTU 12000","КАПАЦИТЕТ ЗА ЛАДЕЊЕ, KW 3,5","КАПАЦИТЕТ ЗА ГРЕЕЊЕ, KW 3,8","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 1.1","НОМИНАЛНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 1.18","ГОДИШНА ПОТРОШУВАЧКА ПРИ ЛАДЕЊЕ, KW 198","ГОДИШНА ПОТРОШУВАЧКА ПРИ ГРЕЕЊЕ, KW 938","СЕЗОНСКИ СООДНОС НА ЕНЕРГЕТСКА ЕФИКАСНОСТ ПРИ ЛАДЕЊЕ SEER 6.19","СЕЗОНСКИ КОЕФИЦИЕНТ НА ПЕРФОРМАНСИ ВО ГРЕЕЊЕ SCOP 4.03","РАБОТНА ТЕМПЕРАТУРА, °C -20 °C до 46 °C","ЦИРКУЛАЦИЈА НА ВОЗДУХ, M?/H 600","БУЧАВА – ВНАТРЕШНА ЕДИНИЦА, DB(A) 53","БУЧАВА – НАДВОРЕШНА ЕДИНИЦА, DB(A) 62","ДИМЕНЗИИ НА ВНАТРЕШНА ЕДИНИЦА Ш X В X Д, MM 792 x 292 x 201","ДИМЕНЗИИ НА НАДВОРЕШНА ЕДИНИЦА Ш X В X Д, MM 705 x 530 x 279","TEЖИНА НА ВНАТРЕШНА ЕДИНИЦА, KG 8.5","ТЕЖИНА НА НАДВОРЕШНА ЕДИНИЦА, KG 22.5","ДОДАТНИ ФУНКЦИОНАЛНОСТИ","AutoCleaning","DeepSleep","Filter Anti 2.5 PM","5-step Cleaning","DryingMode","PlasmaSterilization","WiFi integrated","iFeel","Интелигентно одмрзнување","ГАРАНЦИЈА 36 месеци","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima DIPLOMAT DAW-120 Smart Winter Inverter A++ Wi-Fi -25°C Greac Healty Filter","24999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9993847/1.webp","Тип: Инвертор","Контрола: Далечински;","Моќност во режим на ладење: 3400W (1000W-3820W);","Моќност во режим на греење: 3500W (1000W-3920W); Wi-Fi контрола;","Автоматско рестартирање;","Паметен проток на воздух;","Лесен за чистење филтер;","Интелигентно одмрзнување;","Тајмер;1","Греач на надворешна единица","Healthy филтер","Режим на спиење;","Самочистење;","Внатрешна единица за ниво на бучава: 52dB;","Надворешна единица за ниво на бучава: 62dB;","SEER: 6.1;","Енергетска класа: A++;","SCOP медиум: 4.0;","Отстранување на влага: 1,2L/час;","Опсег на надворешна температура (греење): -25-30°C;","Напон: 220-240V/50Hz;","Напојување: надворешен;","Потрошувачка на енергија во режим на ладење: 1120W (290W-1500W);","Потрошувачка на енергија во режим на греење: 1065W (290W-1740W);","Фрижидер: R32;","Димензии на внатрешната единица (WxHxD): 790x275x192mm;","Димензии на надворешниот уред (WxHxD): 795x549x305mm;","Нето тежина на внатрешната единица: 8.5kg;","Нето тежина на надворешната единица: 25кг;","Големина на пакетот на внатрешната единица: 860x345x265mm;","Големина на пакетот на надворешниот уред: 835x585x340mm;","Бруто тежина на внатрешната единица: 10.5kg;","Бруто тежина на надворешната единица (со исклучок на цевки): 28 кг;","Wi-Fi Да","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HISENSE EASY SMART CA35YR03G/CA35YR03W INVERTER 3,5KW -20C, WI-FI READY","23990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/116019/1.webp","GMCC TOSHIBA компресор","Далечинско управување: Далечински управувач","Препорачана употребна површина: 12-24","Работна температура во режим на греење : -20- 24","Опсег на работна температура во режим на ладење: -15 – 43","Опсег на поставување на температура: 16-30","Меморија на позицијата на насочувачите","Двоен одвод на кондензатот: Лево или десно","Енергетска класа – греење: А++","Брзина на надворешниот вентилатор: 3","Брзина на внатрешниот вентилатор: 7","Моќност за ладење (BTU/h): 12000","Скриен ЛЕД дисплеј/Затемнување на екран","Автоматски внатрешен вентилатор","Моќност за ладење: 3,4 kW","Дијаметар на кондензациската цевка: 18 mm","Филтер со активен јаглен","Автоматско повторно вклучување (при прекин на електрична енергија)","Заштита од замрзнување","Ноќен режим на работа – Night mode","Турбо функција","Функција за отстранување на влага","Вентилирање – проветрување","Приклучна моќ(V): 220-240 V","Минимална јачина на звукот: 64 dB(A)re1pW","Фреквенција: 50 Hz","Потрошувачка на ел. енергија при греење: 1.050 W","Потрошувачка на ел. енергија при ладење: 1.140 W","Цевка за течност: 6,35 mm","Максимален звучен притисок: 39 dB(A)2?10-5Pa","Димензии (ШxВxД): 79 ? 25,5 ? 20 cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima SAMSUNG AR35 3,5KW AR12TXHQASINEU/ AR12TXHQASIXEU INVERTER","28499.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/101928/1.webp","AR12TXHQASINEU/SAMSUNG AR12TXHQASIXEU","Инвертер клима уред","Скриен ЛЕД Дисплеј","12000BTU","Капацитет на ладење 3.5KW","Капацитет на греење 3.8KW","SEER 6.1 kW.h","SCOP 3.9 kWh","EER на ладење 2.9 kWh","COP на греење 3.5 kWh","ДИГИТАЛЕН КОМПРЕСОР МОТОР","Капацитет на одвлажнување 1.2л/ч","Брзо ладење - Fast cooling technology","HD filter","Турбо мод","Комфорт мод","Вентилатор мод","Самочистење","Двостепено ладење","Тајмер","Авто рестарт","Работна температура греење -15/+24","Работна температура ладење -10/+46","Бучност вантрешна единица мин. 22dB/ макс. 37 dB","Бучност надворешна единица 55 dB","Тип на гас R32","Идеална за простории до 40м2","Енергетска класа А++ на ладење/А на греење","Димензии внатрешна единица 800x285x194 мм","Димензии надворешна единица 720x495x270 мм","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VIVAX ACP-12CH35AERI 3.81kw - 12-ka INVERTER","28990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/92136/1.webp","Енергетска класа (SEER/SCOP) A++ (7.0/4.1)","Максимален капацитет на ладење: 4160.00 W","Максимален капацитет на греење: 4780.00 W","Просечна моќност: 3520/3810 W","Влезна моќност ладење: 1089 W","Влезна моќност греење: 1050 W","Проток на воздух: 539.00 m3","Капацитет на одвлажнување: 1.20 l/h","Ниво на бучава: 36.00 dB","Работна температура: -20 do 50 C","Маса внатрешна единица: 8.20 kg","Маса надворешна единица: 26.50 kg","Препорачана површина: до 35м2","Фреон: R32","Филтри: Јонизатор, Bio-филтер, филтер за прашина","Димензии надворешна единица: 770 x 555 x 300 mm","Гаранција: 3 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VIVAX ACP-12CH35AERI+ R32 Inverter 12-ka A+++","29990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/115994/1.webp","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A+++ (8.5/4.6)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4308.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4381.00 W","ПРОСЕЧНА МОЌНОСТ:3517/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:977 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:977 W","ПРОТОК НА ВОЗДУХ:584.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:39.50 dB27","РАБОТНА ТЕМПЕРАТУРА:ОД -25 до 50+","МАСА НАДВОРЕШНА ЕДИНИЦА:26.70 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:765 X 555 X 303 mm","ГАРАНЦИЈА:5 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HOOBART HBTC18INV-WMSE2 18-ka Inverter -25 A++/A+","28999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/47013134/1.webp","ЕНЕРГЕТСКА КЛАСА ЛАДЕЊЕ: A++","ЕНЕРГЕТСКА КЛАСА ГРЕЕЊЕ: A+","МОЌНОСТ (KW): 5,5","SEER / SCOP: 6,1 / 4","МОЌНОСТ (btu): 18000","КАПАЦИТЕТ ЛАДЕЊЕ (kw): 5.0 (2.64~5.30)","КАПАЦИТЕТ ГРЕЕЊЕ (kw): 5.2(1.0~5.80)","ПОТРОШУВАЧКА ЛАДЕЊЕ (w): 1550","ПОТРОШУВАЧКА ГРЕЕЊЕ (w): 1400","ПРОТОК НА ВОЗДУХ: 660 m?","ОДВЛАЖНУВАЊЕ (L): 1.6","ПРЕПОРАЧАНА ПОВРШИНА: 30~40m?","ГРЕЈАЧ ВО НАД. ЕД.: КОМПРЕСОР, КОНДЕНЗАТ","SMART/WI-FI: Ready","ТЕХНОЛОГИЈА: инвертер","РАБОТНА ТЕМПЕРАТУРА: -25°C ~+49°C","ЗВУЧЕН ПРИТИСОК (dB): 22","ГАРАНЦИЈА ( Год. ): 2","ФИЛТРИ: Био филтер, филтер за прaшина","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima TCL TAC-12CHSD/XAB1I-HB 3.5kw inverter so greac od -30 do +53, WiFi, do 35","29999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/110767/1.webp","Опис на производот:","Површина на просториите, 35m?","Капацитет за ладење, BTU/h","Капацитет за ладење, 3 400 (1 000~3 770)","Термичка продуктивност, BTU/h","Термичка продуктивност, 3 420 (1 000~3 810)","EER 3.01","COP 3.71","Потрошувачка моќност (ладење), В 1 130 (290~1 500)","Отстранување на влага, l/h 1.2","Потрошувачка моќност (греење), В 1 922 (290~1 720)","Работна струја (ладење) максимум, А 5,8 (1,5~9,0)","Работна струја (греење) максимум, А 4,7 (1,5~10,0)","Напон/амплитуда на изворот на енергија, f/V/Hz 1/220-240/50","Фреон R32","Количината на воздух што се рециркулира (ладење/греење), m3/час 550/550","Димензии на внатрешната единица (ш*ч*д), мм 777 ? 250 ? 201","Тежина на внатрешната единица (нето/бруто), kg 8 / 10,5","Максималното ниво на бучава на внатрешната единица, Db 22 / 25 / 33 / 37 / 40","Марка на компресорот SANYO","Димензии на надворешниот блок (w/h/d), mm 710 ? 495 ? 240","Тежина на надворешната единица (нето/бруто), kg 24/26","Максималното ниво на бучава на надворешната единица, dB 50","Дијаметар на течна линија, mm 6,35 (1/4)","Дијаметар на гасоводот, mm 9.52 (3/8)","Максималната должина на автопатот, м 25","Максимална висинска разлика, m 10","Температурен режим за време на ладењето -15 ~ +53","Температурен режим за време на загревањето -30 ~ +30","Технички податоци:","Скриен LED дисплеј","Автоматско рестартирање","Анти - ладен воздух","Ладење A ++","Греење А ++","Целосен филтер со висока густина (анти бактерии, антиалергија, анти вирус)","Се чувствувам режим и режим на мирување","Удобно ладење","Брзо ладење","Интелигентно одмрзнување","Режим на тајмер","Греач на надворешна единица","Гаранција 5 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima HISENSE WINGS PRO KB35YR3EG/KB35YR3EW 3.5KW Inverter","26990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/116199/1.webp","SMART Инвертер клима уред со ГРЕАЧ НА НАДВОРЕШНА ЕДИНИЦА","WINGS серија","GMCC TOSHIBA компресор","Скриен ЛЕД Дисплеј","WiFi ВКЛУЧЕН + Паметна гласовна контрола","12000BTU","Капацитет на ладење 3.4KW","Капацитет на греење 3.8KW","SEER 6.1 kWh","SCOP 4.0 kWh","EER на ладење 2.98 kWh","COP на греење 3.62 kWh","ДИГИТАЛЕН КОМПРЕСОР МОТОР","HI-NANO е вид на ефикасна јонска технологија што генерира 1 милион јони/см3 може ефикасно да го спречи коронавирусот (SARS-CoV-2) за 93.54% во затворен простор во рок од два часа","4во1 филтер + Активен јаглен филтер","Двоен одвод на кондензаторот","Отпорност на мувла","Капацитет на одвлажнување 2.0л/ч","I-feel функција која ја мери температурата што треба да се постигне онаму каде што е далечинксиот управувач","Заштита од ладен воздух","Турбо функција","Функција за автоматско рестартирање","Проток на воздух 550cbm3/h","4D Auto swing","Super cooling ладење","Тајмер 24 часа","Ноќен режим на работа","Sleep функција","Работна температура греење -20/+24","Работна температура ладење -15/+43","Бучност внатрешна единица макс. 39 dB","Тип на гас R32","Енергетска класа А++ на ладење/А+ на греење","Димензии внатрешна единица 833x256x203 мм","Димензии надворешна единица 660x483x240 мм","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Klima VIVAX ACP-12CH35AEHI+ R32 GOLD A+++ 12-ka Inverter","29999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/118779/1.webp","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A+++ (8.5/4.6)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4308.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4396.00 W","ПРОСЕЧНА МОЌНОСТ:3517/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:900 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:950 W","ПРОТОК НА ВОЗДУХ:700.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:40.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -25 ? ДО 50 ?","МАСА ВНАТРЕШНА ЕДИНИЦА:11.30 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:26.40 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 40 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина, био филтер","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:765 X 303 X 555 mm","ГАРАНЦИЈА:5 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
